AFG	AFGHANISTAN NATIONAL GYMNASTICS FEDERATION	AGU
ALB	ALBANIAN GYMNASTICS FEDERATION	EG
ALG	FEDERATION ALGERIENNE DE GYMNASTIQUE	UAG
AND	FEDERACIO ANDORRANA DE GIMNASTICA	EG
ANG	FEDERACAO ANGOLANA DE GINASTICA	UAG
ANT	ANTIGUA AND BARBUDA GYMNASTICS FEDERATION	PAGU
ARG	CONFEDERACION ARGENTINA DE GIMNASIA	PAGU
ARM	GYMNASTICS FEDERATION OF ARMENIA	EG
ARU	FEDERACION GIMNASTICO ARUBANO	PAGU
ASA	GYMNASTICS FEDERATION OF AMERICAN SAMOA	OGU
AUS	GYMNASTICS AUSTRALIA	OGU
AUT	TURNSPORT AUSTRIA	EG
AZE	AZERBAIJAN GYMNASTICS FEDERATION	EG
BAH	GYMNASTICS FEDERATION OF THE BAHAMAS	PAGU
BAN	BANGLADESH GYMNASTICS FEDERATION	AGU
BAR	BARBADOS AMATEUR GYMNASTICS ASSOCIATION	PAGU
BEL	FEDERATION ROYALE BELGE DE GYMNASTIQUE	EG
BEN	FEDERATION BENINOISE DE GYMNASTIQUE	UAG
BER	GYMNASTICS FEDERATION OF BERMUDA	PAGU
BIH	GYMNASTICS FEDERATION OF BOSNIA HERZEGOVINA	EG
BLR	BELARUS GYMNASTICS ASSOCIATION	EG
BOL	FEDERACION BOLIVIANA DE GIMNASIA	PAGU
BRA	BRAZILIAN GYMNASTICS FEDERATION	PAGU
BRN	BAHRAIN GYMNASTICS ASSOCIATION	AGU
BUL	FEDERATION BULGARE DE GYMNASTIQUE	EG
BUR	FEDERATION BURKINABE DE GYMNASTIQUE	UAG
CAM	CAMBODIA GYMNASTICS FEDERATION	AGU
CAN	GYMNASTICS CANADA	PAGU
CAY	CAYMAN ISLANDS GYMNASTICS FEDERATION	PAGU
CGO	FEDERATION CONGOLAISE DE GYMNASTIQUE (FECOGYM)	UAG
CHA	FEDERATION TCHADIENNE DE GYMNASTIQUE	UAG
CHI	FEDERACION NACIONAL DE GIMNASIA DE CHILE (FENAGICHI)	PAGU
CHN	CHINESE GYMNASTICS ASSOCIATION	AGU
CIV	FEDERATION IVOIRIENNE DE GYMNASTIQUE	UAG
CMR	FEDERATION CAMEROUNAISE DE GYMNASTIQUE	UAG
COD	FEDERATION DE GYMNASTIQUE DE LA REP. DEM. DU CONGO (FGCOD)	UAG
COK	COOK ISLANDS GYMNASTICS FEDERATION	OGU
COL	FEDERACION COLOMBIANA DE GIMNASIA	PAGU
COM	FEDERATION COMORIENNE DE GYMNASTIQUE	UAG
CPV	CAPE VERDEAN GYMNASTICS FEDERATION	UAG
CRC	FEDERACION DEPORTIVA DE GIMNASIA COSTA RICA	PAGU
CRO	CROATIAN GYMNASTICS FEDERATION	EG
CUB	FEDERACION CUBANA DE GIMNASIA	PAGU
CYP	CYPRUS GYMNASTICS FEDERATION	EG
CZE	CZECH GYMNASTIC FEDERATION	EG
DEN	DANISH GYMNASTICS AND FITNESS FEDERATION	EG
DOM	FEDERACION DOMINICANA DE GIMNASIA	PAGU
ECU	FEDERACION ECUATORIANA DE GIMNASIA	PAGU
EGY	EGYPT GYMNASTICS FEDERATION	UAG
ESA	FEDERACION SALVADORENA DE GIMNASIA	PAGU
ESP	REAL FEDERACION ESPANOLA DE GIMNASIA	EG
EST	ESTONIAN GYMNASTICS FEDERATION	EG
ETH	ETHIOPIAN GYMNASTICS FEDERATION	UAG
FIJ	GYMNASTICS FEDERATION OF FIJI	OGU
FIN	FINNISH GYMNASTICS FEDERATION	EG
FRA	FEDERATION FRANCAISE DE GYMNASTIQUE	EG
GBR	BRITISH GYMNASTICS	EG
GEO	UNITED GEORGIAN GYMNASTICS FEDERATION	EG
GER	DTB DEUTSCHER TURNER-BUND	EG
GRE	HELLENIC GYMNASTICS FEDERATION	EG
GUA	FED. NACIONAL DE GIMNASIA GUATEMALA	PAGU
GUI	GUINEA GYMNASTICS FEDERATION	UAG
GUM	GUAM GYMNASTICS FEDERATION	OGU
HAI	FEDERATION HAITIENNE DE GYMNASTIQUE	PAGU
HKG	THE GYMNASTICS ASSOC. OF HONG KONG, CHINA	AGU
HON	FEDERACION HONDURENA DE GIMNASIA	PAGU
HUN	HUNGARIAN GYMNASTICS FEDERATION	EG
INA	INDONESIA GYMNASTICS FEDERATION (PB PERSANI)	AGU
IND	GYMNASTICS FEDERATION OF INDIA	AGU
IRI	GYM. FED. OF THE ISLAMIC REP. OF IRAN	AGU
IRL	GYMNASTICS IRELAND	EG
IRQ	IRAQ GYMNASTICS FEDERATION	AGU
ISL	ICELANDIC GYMNASTICS FEDERATION	EG
ISR	ISRAEL GYMNASTICS FEDERATION	EG
ITA	FEDERAZIONE GINNASTICA ITALIA	EG
JAM	JAMAICA AMATEUR GYMNASTICS ASSOCIATION	PAGU
